"","Gene","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"68","KLF6",4.64387966579122e-101,1.92643579763447,0.864,0.263,1.15261093304938e-96
"69","COTL1",5.48960561504607e-101,1.92809853063743,0.821,0.183,1.36252011365443e-96
"70","RPS19",2.43679367674167e-100,1.71877129839214,0.863,0.22,6.04812190567283e-96
"71","LOC102122855",5.03618009210855e-100,1.64686607812355,0.884,0.254,1.24997989886134e-95
"72","TNFSF13",1.82722000680508e-98,3.36417200917618,0.64,0.043,4.5351600568902e-94
"73","RPL4",2.81032965384984e-98,1.65405995523546,0.909,0.309,6.9752382008553e-94
"74","RPL13A",8.05851112925887e-98,1.81522540681722,0.839,0.201,2.00012246228205e-93
"75","INSIG1",5.07249582642735e-97,3.68970871280861,0.637,0.055,1.25899346411927e-92
"76","CD63",1.10534773474118e-96,1.81257379515949,0.875,0.368,2.7434730776276e-92
"77","PRCP",1.75792985602936e-96,3.82967932522454,0.604,0.023,4.36318190266486e-92
"78","RPL30",1.97882220897181e-96,1.8300913510194,0.832,0.206,4.91143672266803e-92
"79","TAP1",7.68308370636386e-96,-2.23885421662367,0.624,0.785,1.90694137591951e-91
"80","FAM26F",1.66048691584094e-95,3.46690621516878,0.642,0.064,4.12132852511722e-91
"81","PLXDC2",2.60938901905748e-95,3.93871464139329,0.612,0.039,6.47650354530067e-91
"82","CANX",2.73594879206887e-95,1.64048643728002,0.845,0.222,6.79062490191492e-91
"83","GPNMB",2.05133354969889e-94,3.79218006131582,0.645,0.092,5.09140987035265e-90
"84","GPX4",3.31189036302369e-94,2.32098582480652,0.721,0.112,8.22011188102479e-90
"85","LOC102141176",7.42876555900412e-94,4.37438815989551,0.606,0.039,1.84381961174482e-89
"86","TNFAIP6",3.53550926546332e-93,-4.43505412451493,0.071,0.343,8.77513399687996e-89
"87","CD274",5.44082382574175e-93,-3.67943835332726,0.243,0.572,1.3504124735491e-88
"88","LOC102144414",1.80076633808719e-92,3.28596833490467,0.623,0.046,4.4695020511324e-88
"89","ITGB1",2.04871866030047e-92,2.51558568188619,0.668,0.076,5.08491971486577e-88
"90","S100A10",4.48421964266321e-92,2.61450471104328,0.683,0.096,1.11298331530901e-87
"91","TMEM154",9.96197779690053e-92,-4.5907550012676,0.055,0.304,2.47256288919071e-87
"92","IFIT1",1.27285164522098e-91,-4.54964343738622,0.152,0.471,3.15921778343846e-87
"93","LYN",3.71201064279411e-91,-1.63478029720586,0.806,0.86,9.21321041541499e-87
"94","FN1",6.00032304501565e-91,3.52753623480878,0.648,0.094,1.48928017977288e-86
"95","CFL1",3.63701759787603e-90,1.66176264304746,0.86,0.27,9.02707767792832e-86
"96","CD163",7.99427107226116e-90,3.51586750473236,0.597,0.037,1.98417808013522e-85
"97","ALDH2",5.28239662091318e-89,2.84771657924884,0.642,0.071,1.31109084131065e-84
"98","LGMN",7.76166998375609e-89,3.57509132865239,0.61,0.059,1.92644648996826e-84
"99","CXCL8",1.00203419194763e-88,-2.7697085648641,0.521,0.78,2.48704886441401e-84
"100","RPL10A",1.02124096199879e-88,1.92395340074725,0.75,0.144,2.534720067681e-84
"101","FCER1G",1.89680385139401e-88,2.23072004738491,0.709,0.117,4.70786715915994e-84
"102","UHMK1",1.92781715542766e-88,2.16979490530647,0.71,0.114,4.78484217977145e-84
"103","CRIP1",1.95244006387937e-88,3.54676300283633,0.601,0.043,4.84595623854859e-84
"104","AHNAK",1.46441939224854e-87,2.76149600255979,0.642,0.073,3.63468893156088e-83
"105","GPR65",1.61587491806089e-87,-2.52019452536759,0.605,0.762,4.01060154662712e-83
"106","OLR1",1.89176988307034e-87,2.86175920411096,0.622,0.064,4.69537284978057e-83
"107","CTSL",1.21515513380986e-86,3.23528228248766,0.61,0.059,3.01601504211608e-82
"108","YWHAB",7.47303241339931e-86,1.46058771769469,0.857,0.247,1.85480664500571e-81
"109","CTSZ",7.53406721689108e-86,1.88222513529012,0.768,0.181,1.86995548323237e-81
"110","C1QA",1.29297274465995e-85,3.71867588473395,0.604,0.076,3.20915835224599e-81
"111","PFN1",1.60263243244102e-85,1.93545733458368,0.717,0.13,3.97773369731861e-81
"112","RPL35",2.41388744884788e-85,2.23192255123354,0.678,0.098,5.99126864804043e-81
"113","GAPDH",2.52333029704823e-85,1.87192156812639,0.791,0.197,6.2629057972737e-81
"114","ATP5A1",9.99814193741247e-85,2.34147646678796,0.657,0.085,2.48153882886578e-80
"115","LOC102136964",1.00420836486358e-84,2.95726313004021,0.608,0.057,2.49244516159141e-80
"116","SEPT2",4.09682369836314e-84,2.2338800932358,0.652,0.078,1.01683164193373e-79
"117","LRP1",4.63480874703942e-84,3.92210516889373,0.556,0.027,1.15035953101518e-79
