"p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
3.98545871504841e-159,0.804464628212302,0.781,0.416,9.89190853075015e-155,"0","LOC102140945"
1.44797058182716e-155,1.18617409946984,0.654,0.326,3.59386298409502e-151,"0","FUCA1"
9.08666640839464e-155,1.38669792074192,0.605,0.291,2.25531060256355e-150,"0","VAT1"
1.01622136409271e-153,1.41251074200884,0.599,0.288,2.52226142567809e-149,"0","ABHD12"
2.77321509631695e-152,1.14206834040866,0.626,0.293,6.88311986905866e-148,"0","CD163"
4.54230129088225e-152,1.16715739105081,0.554,0.231,1.12739918039697e-147,"0","MRC1"
6.4647019510909e-152,1.10878384754211,0.697,0.392,1.60453902426076e-147,"0","LOC102140649"
3.06709226301688e-151,0.67773666612668,0.739,0.383,7.61252299680789e-147,"0","CPVL"
5.98113996967936e-147,1.47060882667725,0.544,0.256,1.48451894047442e-142,"0","SIRPA"
9.44857227308446e-147,1.32332518812548,0.587,0.272,2.34513563817956e-142,"0","LRP1"
1.50862698516699e-146,1.6900260503712,0.454,0.178,3.74441217718447e-142,"0","PLTP"
1.77364179750919e-145,1.25429208610047,0.632,0.328,4.40217894141781e-141,"0","NAAA"
5.77234013624258e-145,0.742751273783663,0.924,0.632,1.43269482181541e-140,"0","TYROBP"
3.17521169354466e-144,1.06906156827757,0.66,0.328,7.88087542337784e-140,"0","ALDH1A1"
1.76181041044196e-143,0.546757187397259,0.864,0.516,4.37281343871694e-139,"0","CST3"
7.91243219129e-142,1.67775125587446,0.467,0.197,1.96386566987818e-137,"0","SIGLEC1"
6.40512534327348e-141,0.891292399818467,0.829,0.506,1.58975211020048e-136,"0","MAN2B1"
8.40205232986509e-139,1.64538625541021,0.44,0.174,2.08538938827251e-134,"0","DAB2"
1.75571734702752e-137,1.61528780568267,0.49,0.213,4.3576904553223e-133,"0","MMP14"
6.21558388222731e-136,1.34768110021227,0.535,0.243,1.54270791956882e-131,"0","SCARB2"
7.87435394293386e-136,1.03729144512864,0.644,0.341,1.95441464863618e-131,"0","MARCKS"
4.65724278528691e-134,0.960592234314802,0.77,0.481,1.15592765930821e-129,"0","AKR1A1"
6.51217389236189e-134,1.35931349760378,0.546,0.265,1.61632156008422e-129,"0","ASAH1"
3.02961245085896e-133,1.06002345831719,0.673,0.361,7.51949810303194e-129,"0","GNS"
6.45972508602363e-133,1.61279142299333,0.437,0.178,1.60330376635106e-128,"0","F13A1"
1.92160175351117e-132,0.718208843442262,0.788,0.44,4.76941555221473e-128,"0","CFD"
2.709930771769e-129,1.13850609638207,0.532,0.241,6.72604817553066e-125,"0","CHI3L1"
5.32967838995908e-129,0.570435331244817,0.988,0.842,1.32282617638784e-124,"0","VIM"
2.18114640238717e-127,1.32624279089855,0.528,0.253,5.41360537072494e-123,"0","MPP1"
2.74060496258395e-127,1.04739357795292,0.687,0.388,6.80218151713337e-123,"0","LOC102136964"
7.85692865809588e-125,1.15130272556052,0.56,0.271,1.9500896929394e-120,"0","LOC102126012"
3.18676347427268e-123,1.72559909971249,0.415,0.174,7.90954694314478e-119,"0","ADAP2"
1.04067491142097e-121,1.0760646409462,0.635,0.341,2.58295513014684e-117,"0","LOC102141176"
3.96115693912066e-119,0.537704804147987,0.934,0.663,9.83159152289748e-115,"0","SAT1"
9.96858579316909e-119,1.49296465646113,0.477,0.23,2.47420299386457e-114,"0","ERV3-1"
1.82626669565562e-117,1.05795622835988,0.676,0.386,4.53279393861725e-113,"0","IER3"
4.95213636798355e-117,0.877908480007869,0.651,0.357,1.22912024653352e-112,"0","CD86"
